OFFER,RETAILER_mapped,BRAND,PRODUCT_CATEGORY
Spend $50 on a Full-Priced new Club Membership,SAMS CLUB,,
"Beyond Meat® Plant-Based products, spend $25",,Plant-Based Meat,
"Beyond Meat® Plant-Based products, spend $25",,Packaged Meat,
"Beyond Meat® Plant-Based products, spend $25",,Frozen Plant-Based Meat,
Good Humor Viennetta Frozen Vanilla Cake,,Dips & Salsa,
Good Humor Viennetta Frozen Vanilla Cake,,Frozen Desserts,
"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,Frozen Turkey,
"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,Nut Butters & Jam,
"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,Medicines & Treatments,
"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,Meal Replacement Beverages,
"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,Sports Drinks,
Emmy's Organics® Cookies OR Brownie Snaps,,Cookies,
"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,Carbonated Soft Drinks,
"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,Cooking & Baking,
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,Bread,
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,Prepared Meals,
"Arnold, Brownberry, Oroweat® Small Slice bread, at Walmart",WALMART,Bakery,
Barilla® Pesto Sauce,,Pesto Sauce,
Barilla® Pesto Sauce,,Chips,
Barilla® Pesto Sauce,,Red Pasta Sauce,
Barilla® Pesto Sauce,,Dry Pasta,
"Any General Mills™ products, buy 2",,,
"Good Rewards Members Only""",,Packaged Vegetables,
"Good Rewards Members Only""",,Refrigerated Doughs,
"Good Rewards Members Only""",,Frozen Pizza & Pizza Snacks,
"Good Rewards Members Only""",,Bread,
"Good Rewards Members Only""",,Frozen Breakfast,
"Good Rewards Members Only""",,Chips,
"Good Rewards Members Only""",,Cookies,
"Good Rewards Members Only""",,"Cereal, Granola, & Toaster Pastries",
"Good Rewards Members Only""",,Soup & Broth,
"Good Rewards Members Only""",,Dressings,
"Good Rewards Members Only""",,Fruit & Vegetable Snacks,
"Good Rewards Members Only""",,Crackers,
"Good Rewards Members Only""",,Frozen Meals,
"Good Rewards Members Only""",,Cheese,
"Good Rewards Members Only""",,Cooking & Baking,
Egglife Egg White Wraps at Aldi,ALDI,Eggs,
Spend $20 at Zaxby's,ZAXBYS,,
Spend $10 at Subway,SUBWAY,Cooking & Baking,
"DOVE® Chocolate, select sizes, buy 1",,Candy,Gum
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,Sauces & Marinades,
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,Dressings,
Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,Condiments,
"M&M'S®, select sizes, buy 1",,Candy,Gum
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,Medicines & Treatments,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,Meal Replacement Beverages,
"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,Sports Drinks,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,Plant-Based Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,Packaged Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,Frozen Plant-Based Meat,
Red Gold Tomato Ketchup,,Sauces & Marinades,
Red Gold Tomato Ketchup,,Condiments,
Red Gold Tomato Ketchup,,Drink Mixes,
Red Gold Tomato Ketchup,,Cooking & Baking,
Red Gold Tomato Ketchup,,Dips & Salsa,
Gillette Venus ® for Pubic Hair & Skin spend $20,,Hair Removal,
Spend $140 at Shaws,SHAWS,Cooking & Baking,
"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,Hair Care,
Simply Spiked™ Lemonade 12 pack+,,Malt Beverages,
Simply Spiked™ Lemonade 12 pack+,,"Hard Seltzers, Sodas, Waters, Lemonades & Teas",
"Gorton's, at select retailers",STOP & SHOP,Jerky & Dried Meat,
"Gorton's, at select retailers",SHOP RITE,Jerky & Dried Meat,
"Gorton's, at select retailers",STOP & SHOP,Frozen Seafood,
"Gorton's, at select retailers",SHOP RITE,Frozen Seafood,
"Gorton's, at select retailers",STOP & SHOP,Frozen Meals,
"Gorton's, at select retailers",SHOP RITE,Frozen Meals,
Shop 2 times at ACME,ACME,Medicines & Treatments,
"Butterball, select varieties, spend $10 at Ralphs",RALPHS,Frozen Turkey,
"Butterball, select varieties, spend $10 at Ralphs",RALPHS,Nut Butters & Jam,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,Plant-Based Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,Packaged Meat,
"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,Frozen Plant-Based Meat,
"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,Frozen Turkey,
"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,Nut Butters & Jam,
Spend $20 at KFC,KFC,,
Spend $15 at Nekter,NEKTER JUICE BAR,,
Order online at Zaxbys.com,ZAXBYS,,
